Filename,Total Tokens,Unique Tokens
GPO-CHRG-SOTOMAYOR-2-3-1-2.txt,52585,4804
GPO-CHRG-SOTOMAYOR-2-1-1.txt,2220,823
GPO-CHRG-GINSBURG-2-1-3-1-2-6.txt,3565,1066
GPO-CHRG-SOTOMAYOR-2-3-1-3.txt,51983,5081
GPO-CHRG-SOTOMAYOR-2-3-1-1.txt,1581,674
GPO-CHRG-GINSBURG-2-1-3-1-2-4.txt,4390,1254
GPO-CHRG-SOTOMAYOR-2-1-2.txt,124,37
GPO-CHRG-GINSBURG-2-2-1-1-2-8.txt,4043,1150
GPO-CHRG-GINSBURG-2-2-1-1-2-9.txt,6274,1552
GPO-CHRG-SOTOMAYOR-2-1-3.txt,1759,641
GPO-CHRG-GINSBURG-2-1-3-1-2-5.txt,5030,1415
GPO-CHRG-SOTOMAYOR-2-3-1-4.txt,94167,7719
GPO-CHRG-GINSBURG-2-1-3-1-2-1.txt,5917,1374
GPO-CHRG-SOTOMAYOR-2-1-7.txt,93,34
GPO-CHRG-GINSBURG-2-1-2-9-1.txt,1147,485
GPO-CHRG-SOTOMAYOR-2-1-6.txt,2286,826
GPO-CHRG-SOTOMAYOR-2-3-1-5.txt,5332,520
GPO-CHRG-GINSBURG-2-1-3-1-2-2.txt,4616,1225
GPO-CHRG-SOTOMAYOR-2-1-4.txt,2318,781
GPO-CHRG-GINSBURG-2-1-2-9-2.txt,2082,737
GPO-CHRG-SOTOMAYOR-2-1-5.txt,155,40
GPO-CHRG-GINSBURG-2-1-3-1-2-3.txt,4497,1279
GPO-CHRG-SOTOMAYOR-2-3-1-6.txt,62,31
GPO-CHRG-GINSBURG-2-3-1-1-1.txt,547,277
GPO-CHRG-SOTOMAYOR-2-1-21.txt,2314,854
GPO-CHRG-SOTOMAYOR-2-1-35.txt,93,34
GPO-CHRG-OCONNOR-2-18.txt,1243,559
GPO-CHRG-OCONNOR-2-19.txt,528,270
GPO-CHRG-OCONNOR-2-1.txt,903,426
GPO-CHRG-SOTOMAYOR-2-1-34.txt,2332,866
GPO-CHRG-GINSBURG-2-1-2-18-1.txt,1193,440
GPO-CHRG-GINSBURG-2-3-1-1-2-7.txt,3922,1087
GPO-CHRG-SOTOMAYOR-2-1-20.txt,93,34
GPO-CHRG-SOTOMAYOR-2-1-22.txt,155,40
GPO-CHRG-GINSBURG-2-3-1-1-2-5.txt,6930,1486
GPO-CHRG-OCONNOR-2-3.txt,580,270
GPO-CHRG-OCONNOR-2-2.txt,1067,425
GPO-CHRG-SOTOMAYOR-2-1-23.txt,2249,851
GPO-CHRG-GINSBURG-2-3-1-1-2-4.txt,5831,1283
GPO-CHRG-GINSBURG-2-1-2-18-2.txt,1272,518
GPO-CHRG-GINSBURG-2-1-2-8-2.txt,675,308
GPO-CHRG-OCONNOR-2-6.txt,566,268
GPO-CHRG-SOTOMAYOR-2-1-33.txt,2313,829
GPO-CHRG-SOTOMAYOR-2-1-27.txt,2383,847
GPO-CHRG-OCONNOR-2-22.txt,1586,588
GPO-CHRG-OCONNOR-2-23.txt,2272,659
GPO-CHRG-GINSBURG-2-3-1-1-2-1.txt,1655,629
GPO-CHRG-SOTOMAYOR-2-1-26.txt,93,34
GPO-CHRG-SOTOMAYOR-2-1-32.txt,155,40
GPO-CHRG-OCONNOR-2-7.txt,640,327
GPO-CHRG-GINSBURG-2-1-2-8-1.txt,1239,395
GPO-CHRG-SOTOMAYOR-2-1-18.txt,341,58
GPO-CHRG-OCONNOR-2-5.txt,515,243
GPO-CHRG-SOTOMAYOR-2-1-24.txt,93,34
GPO-CHRG-GINSBURG-2-3-1-1-2-3.txt,2234,733
GPO-CHRG-SOTOMAYOR-2-1-30.txt,93,34
GPO-CHRG-OCONNOR-2-21.txt,544,296
GPO-CHRG-GINSBURG-2-2-1-1-1.txt,1073,454
GPO-CHRG-OCONNOR-2-20.txt,1384,600
GPO-CHRG-SOTOMAYOR-2-1-31.txt,2223,814
GPO-CHRG-SOTOMAYOR-2-1-25.txt,2271,820
GPO-CHRG-GINSBURG-2-3-1-1-2-2.txt,8985,1757
GPO-CHRG-OCONNOR-2-4.txt,552,282
GPO-CHRG-SOTOMAYOR-2-1-19.txt,1694,714
GPO-CHRG-OCONNOR-2-9.txt,525,282
GPO-CHRG-SOTOMAYOR-2-1-14.txt,2388,713
GPO-CHRG-GINSBURG-2-3-1-1-2-16.txt,2254,698
GPO-CHRG-SOTOMAYOR-2-1-28.txt,93,34
GPO-CHRG-OCONNOR-2-11.txt,803,392
GPO-CHRG-GINSBURG-2-2-1-1-2-11.txt,3475,1004
