Filename,Total Tokens,Unique Tokens
GPO-CHRG-ALITO-2-1-3.txt,1851,596
GPO-CHRG-ALITO-2-3-1.txt,2052,702
GPO-CHRG-ALITO-2-1-15.txt,2357,784
GPO-CHRG-ALITO-2-1-14.txt,2383,839
GPO-CHRG-ALITO-2-1-2.txt,2411,828
GPO-CHRG-SCALIA-2-21.txt,1571,670
GPO-CHRG-ALITO-2-1-16.txt,99,37
GPO-CHRG-ALITO-2-1-17.txt,2357,819
GPO-CHRG-SCALIA-2-20.txt,1576,663
GPO-CHRG-ALITO-2-1-1.txt,2478,778
GPO-CHRG-ALITO-2-1-5.txt,1746,653
GPO-CHRG-SCALIA-2-18.txt,473,257
GPO-CHRG-ALITO-2-1-13.txt,2347,807
GPO-CHRG-ROBERTS-2-1-8.txt,2376,845
GPO-CHRG-ROBERTS-3-2-10.txt,160,42
GPO-CHRG-KENNEDY-2-1-2-12.txt,695,352
GPO-CHRG-ALITO-2-1-12.txt,2341,825
GPO-CHRG-SCALIA-2-19.txt,1167,462
GPO-CHRG-ALITO-2-1-4.txt,1780,685
GPO-CHRG-ALITO-2-1-6.txt,2455,859
GPO-CHRG-ALITO-2-1-10.txt,1731,645
GPO-CHRG-KENNEDY-2-1-2-10.txt,2315,753
GPO-CHRG-KENNEDY-2-1-2-11.txt,1053,464
GPO-CHRG-ALITO-2-1-11.txt,1730,660
GPO-CHRG-ALITO-2-1-7.txt,1753,618
GPO-CHRG-KENNEDY-2-2-1-1-7.txt,1027,434
GPO-CHRG-KENNEDY-2-1-4-8.txt,946,393
GPO-CHRG-KENNEDY-2-2-1-1-15.txt,1157,455
GPO-CHRG-KENNEDY-2-1-3-2-8.txt,4247,1083
GPO-CHRG-ROBERTS-2-1-18.txt,96,36
GPO-CHRG-ROBERTS-2-1-24.txt,2341,840
GPO-CHRG-ROBERTS-2-1-25.txt,96,36
GPO-CHRG-ROBERTS-2-1-19.txt,2287,825
GPO-CHRG-KENNEDY-2-2-1-1-14.txt,2212,707
GPO-CHRG-KENNEDY-2-1-4-9.txt,822,366
GPO-CHRG-KENNEDY-2-2-1-1-6.txt,3414,957
GPO-CHRG-KENNEDY-2-2-1-1-4.txt,3839,959
GPO-CHRG-KENNEDY-2-2-1-1-16.txt,3365,897
GPO-CHRG-ROBERTS-3-2-9.txt,480,72
GPO-CHRG-ROBERTS-2-1-27.txt,160,42
GPO-CHRG-ROBERTS-2-1-26.txt,2404,800
GPO-CHRG-ROBERTS-3-2-8.txt,160,42
GPO-CHRG-KENNEDY-2-2-1-1-17.txt,4778,1150
GPO-CHRG-KENNEDY-2-2-1-1-5.txt,1019,422
GPO-CHRG-KENNEDY-2-2-1-1-1.txt,4502,1103
GPO-CHRG-KENNEDY-2-2-1-1-13.txt,1054,376
GPO-CHRG-KENNEDY-2-1-4-11.txt,546,307
GPO-CHRG-ROBERTS-2-1-22.txt,96,36
GPO-CHRG-KENNEDY-2-1-2-8.txt,772,378
GPO-CHRG-KENNEDY-2-1-2-9.txt,1222,440
GPO-CHRG-ROBERTS-2-1-23.txt,1727,653
GPO-CHRG-KENNEDY-2-1-4-10.txt,695,352
GPO-CHRG-KENNEDY-2-2-1-1-12.txt,3257,906
GPO-CHRG-KENNEDY-2-2-1-1-2.txt,5506,1323
GPO-CHRG-KENNEDY-2-2-1-1-10.txt,4325,1070
GPO-CHRG-KENNEDY-2-1-4-12.txt,612,326
GPO-CHRG-ROBERTS-2-1-21.txt,2299,787
GPO-CHRG-SCALIA-2-8.txt,495,265
GPO-CHRG-SCALIA-2-9.txt,1027,444
GPO-CHRG-ROBERTS-2-1-20.txt,128,39
GPO-CHRG-KENNEDY-2-2-1-1-11.txt,3221,907
GPO-CHRG-KENNEDY-2-2-1-1-3.txt,2124,624
GPO-CHRG-KENNEDY-2-1-4-1.txt,1803,719
GPO-CHRG-KENNEDY-2-2-1-1-20.txt,3387,958
GPO-CHRG-ROBERTS-3-2-3.txt,128,39
GPO-CHRG-KENNEDY-2-1-3-2-1.txt,4362,1129
GPO-CHRG-ROBERTS-2-1-11.txt,96,36
GPO-CHRG-KENNEDY-2-1-2-7.txt,1597,591
GPO-CHRG-SCALIA-2-4.txt,1695,603
GPO-CHRG-SCALIA-2-5.txt,2485,777
GPO-CHRG-KENNEDY-2-1-2-6.txt,2240,759
GPO-CHRG-ROBERTS-2-1-10.txt,1784,645
GPO-CHRG-ROBERTS-3-2-2.txt,96,36
GPO-CHRG-KENNEDY-2-2-1-1-21.txt,2754,883
GPO-CHRG-KENNEDY-2-1-4-2.txt,1279,545
GPO-CHRG-KENNEDY-2-2-1-1-23.txt,3257,906
GPO-CHRG-KENNEDY-2-1-3-2-2.txt,4723,1233
GPO-CHRG-ROBERTS-2-1-12.txt,2311,902
GPO-CHRG-KENNEDY-2-1-2-4.txt,1884,636
GPO-CHRG-SCALIA-2-7.txt,1016,432
GPO-CHRG-SCALIA-2-6.txt,1771,699
GPO-CHRG-KENNEDY-2-1-2-5.txt,530,261
GPO-CHRG-ROBERTS-2-1-13.txt,160,42
GPO-CHRG-KENNEDY-2-1-3-2-3.txt,4824,1225
GPO-CHRG-ROBERTS-3-2-1.txt,224,48
GPO-CHRG-KENNEDY-2-2-1-1-22.txt,3700,1032
GPO-CHRG-KENNEDY-2-1-4-3.txt,1182,538
GPO-CHRG-KENNEDY-2-2-1-1-8.txt,2755,824
GPO-CHRG-KENNEDY-2-1-4-7.txt,598,323
GPO-CHRG-KENNEDY-2-1-3-2-7.txt,3992,1148
GPO-CHRG-ROBERTS-3-2-5.txt,1344,153
GPO-CHRG-ROBERTS-2-1-17.txt,2269,803
GPO-CHRG-SCALIA-2-2.txt,960,408
GPO-CHRG-KENNEDY-2-1-2-1.txt,1946,709
GPO-CHRG-SCALIA-2-3.txt,455,238
GPO-CHRG-ROBERTS-2-1-16.txt,96,36
GPO-CHRG-ROBERTS-3-2-4.txt,352,60
GPO-CHRG-KENNEDY-2-1-3-2-6.txt,5288,1298
GPO-CHRG-KENNEDY-2-1-4-6.txt,396,221
GPO-CHRG-KENNEDY-2-2-1-1-9.txt,5396,1249
GPO-CHRG-KENNEDY-2-1-4-4.txt,425,233
GPO-CHRG-KENNEDY-2-2-1-1-25.txt,458,207
GPO-CHRG-KENNEDY-2-2-1-1-19.txt,527,238
GPO-CHRG-KENNEDY-2-1-3-2-4.txt,5383,1403
GPO-CHRG-ROBERTS-3-2-6.txt,32,30
GPO-CHRG-ROBERTS-2-1-14.txt,1855,644
GPO-CHRG-ROBERTS-2-1-28.txt,2349,909
GPO-CHRG-SCALIA-2-1.txt,871,424
GPO-CHRG-KENNEDY-2-1-2-2.txt,1176,538
GPO-CHRG-KENNEDY-2-1-2-3.txt,440,239
GPO-CHRG-ROBERTS-2-1-29.txt,1792,670
GPO-CHRG-ROBERTS-2-1-15.txt,1770,675
GPO-CHRG-ROBERTS-3-2-7.txt,128,39
GPO-CHRG-KENNEDY-2-1-3-2-5.txt,4868,1145
GPO-CHRG-KENNEDY-2-2-1-1-18.txt,2055,642
GPO-CHRG-KENNEDY-2-2-1-1-24.txt,2222,687
GPO-CHRG-KENNEDY-2-1-4-5.txt,760,374
GPO-CHRG-SCALIA-3-1-1.txt,43910,4520
