Topic Label,Top Words
Topic 0,"oconnor (0.021), grassley (0.005), problem (0.005), statute (0.004), trial (0.004), jurisdiction (0.004), agency (0.004), arizona (0.004), basis (0.004), abortion (0.003), instance (0.003), level (0.003), extent (0.003), legislation (0.003), prior (0.003), rehnquist (0.003), crime (0.003), metzenbaum (0.003), criminal (0.003), generally (0.003), denton (0.002), deconcini (0.002), hatch (0.002), administrative (0.002), biden (0.002)"
Topic 1,"ahead (0.009), marry (0.009), privacy (0.008), glnsburg (0.007), line (0.006), brown (0.006), war (0.005), black (0.005), lecture (0.004), recognized (0.004), protected (0.004), move (0.004), unenumerated (0.004), scalia (0.004), bill (0.004), white (0.004), hatch (0.004), mentioned (0.004), minute (0.004), madison (0.003), declaration (0.003), race (0.003), loving (0.003), press (0.003), men (0.003)"
Topic 2,"robert (0.005), men (0.004), district (0.004), voting (0.004), gender (0.004), test (0.003), kohl (0.003), allowed (0.003), moseleybraun (0.003), white (0.003), room (0.003), conversation (0.003), didnt (0.003), standing (0.003), line (0.002), cant (0.002), parent (0.002), held (0.002), keep (0.002), glnsburg (0.002), recent (0.002), levee (0.002), world (0.002), black (0.002), excellence (0.002)"
Topic 3,"oconnor (0.007), meaning (0.006), simpson (0.005), hatch (0.005), antitrust (0.005), metzenbaum (0.005), original (0.004), qualification (0.004), abortion (0.004), price (0.004), support (0.003), ginsburgs (0.003), consumer (0.003), activist (0.003), candidate (0.003), temperament (0.003), report (0.002), circumstance (0.002), economic (0.002), shown (0.002), criminal (0.002), therefore (0.002), meet (0.002), unanimous (0.002), recusal (0.002)"
Topic 4,"sotomayor (0.029), thats (0.008), situation (0.005), talking (0.004), session (0.004), district (0.004), graham (0.004), statute (0.004), apply (0.003), panel (0.003), didnt (0.003), basis (0.003), okay (0.003), cant (0.003), talk (0.003), grassley (0.003), city (0.003), used (0.003), decided (0.003), context (0.003), argument (0.003), looking (0.003), there (0.003), board (0.003), holding (0.003)"
Topic 5,"scalia (0.051), biden (0.008), report (0.006), problem (0.006), university (0.005), agency (0.005), deconcini (0.005), statute (0.004), article (0.004), simon (0.003), document (0.003), virginia (0.003), administrative (0.003), original (0.003), heflin (0.003), mathias (0.003), grassley (0.003), hard (0.003), rehnquist (0.003), whole (0.003), counsel (0.003), intent (0.003), club (0.003), independent (0.003), earlier (0.003)"
Topic 6,"hatch (0.017), club (0.013), humphrey (0.011), ninth (0.006), privacy (0.004), clause (0.004), indicated (0.004), penalty (0.003), death (0.003), problem (0.003), used (0.003), criminal (0.003), sometimes (0.003), byrd (0.003), moment (0.003), glnsburg (0.003), phrase (0.003), emanation (0.003), line (0.003), statute (0.003), sir (0.003), minute (0.003), press (0.002), regard (0.002), ever (0.002)"
Topic 7,"alito (0.025), oconnor (0.008), alitos (0.007), served (0.004), sandra (0.004), balance (0.004), check (0.004), hon (0.004), arizona (0.004), agenda (0.004), robert (0.003), seat (0.003), representative (0.003), protect (0.003), apply (0.003), college (0.003), worked (0.003), story (0.003), bush (0.003), associate (0.003), third (0.003), narrow (0.002), father (0.002), support (0.002), house (0.002)"
Topic 8,"thurmond (0.006), test (0.004), glnsburg (0.004), business (0.003), district (0.003), feinstein (0.003), authority (0.003), religion (0.003), statute (0.002), doctrine (0.002), decided (0.002), generally (0.002), criminal (0.002), taken (0.002), clause (0.002), belief (0.002), legislation (0.002), show (0.002), antitrust (0.002), current (0.002), seen (0.002), limit (0.002), basis (0.002), strong (0.002), body (0.002)"
Topic 9,"intent (0.010), framer (0.008), metzenbaum (0.006), district (0.004), remedy (0.004), grassley (0.004), finding (0.004), restraint (0.004), activism (0.003), wrong (0.003), leadership (0.003), washington (0.003), less (0.003), board (0.003), evidence (0.003), conclusion (0.003), original (0.003), pay (0.003), doctrine (0.003), problem (0.003), employer (0.002), employee (0.002), met (0.002), conservative (0.002), segregated (0.002)"
Topic 10,"black (0.009), land (0.006), book (0.006), west (0.006), told (0.006), went (0.005), conversation (0.005), criminal (0.005), didnt (0.005), indian (0.005), student (0.005), remember (0.004), sit (0.004), privacy (0.004), table (0.004), value (0.004), carried (0.003), crime (0.003), exclusionary (0.003), dilemma (0.003), pressler (0.003), problem (0.003), struggle (0.003), vermont (0.003), living (0.003)"
